@relation 'XXXXXXL2 2'

@attribute 'status pozyczki' {splacona_cz,odmowa,splacona,windykacja_sp,windykacja}
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {mezczyzna,kobieta}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,200,72,kobieta,13,866.46,1,194,48,0
odmowa,300,60,kobieta,13,825.69,0,3,48,0
splacona,296.54,33,mezczyzna,12,1030,1,1,22,22
splacona_cz,400,59,mezczyzna,11,2100,0,186,48,0
splacona,200,69,kobieta,13,1800,1,115,48,0
splacona,200,63,mezczyzna,16,650.77,0,45,48,0
splacona_cz,300,54,kobieta,16,1072.89,1,120,48,0
splacona_cz,300,62,mezczyzna,13,2040,0,142,48,0
windykacja,400,53,kobieta,11,1200,0,99,48,2680
splacona_cz,300,57,kobieta,16,634.64,0,134,48,0
splacona_cz,300,48,mezczyzna,12,1042,0,1,1,0
splacona_cz,400,42,mezczyzna,11,3500,1,24,48,5
odmowa,300,31,mezczyzna,12,1200,0,1,1,0
splacona_cz,200,41,kobieta,11,1037.34,1,58,48,0
splacona,200,61,kobieta,13,714,1,222,48,0
splacona_cz,300,62,mezczyzna,13,1287.66,0,94,48,5
splacona_cz,500,46,kobieta,98,2200,1,22,48,0
windykacja_sp,200,37,mezczyzna,11,2300,0,103,48,148
splacona,200,46,mezczyzna,11,1566.82,0,350,48,0
splacona,200,52,kobieta,11,1071.61,0,405,48,182
splacona_cz,400,37,kobieta,11,800.51,0,16,48,1
windykacja,500,51,kobieta,12,1500,1,23,9,2680
splacona_cz,300,27,mezczyzna,12,1400,0,5,18,7
odmowa,200,23,kobieta,12,1134.4,0,7,8,0
splacona_cz,200,48,kobieta,11,967.64,0,320,48,0
splacona_cz,200,60,kobieta,13,1635,1,118,48,7
splacona_cz,1100,42,mezczyzna,11,2875.71,1,278,48,4
splacona_cz,300,70,kobieta,13,1000,0,61,48,0
splacona_cz,400,59,kobieta,13,1400,1,246,48,0
splacona,500,71,mezczyzna,13,2612,0,79,48,0
splacona_cz,400,58,kobieta,13,930,0,28,48,1
splacona_cz,300,64,mezczyzna,12,1100,1,19,17,2
splacona_cz,694,38,kobieta,11,1900,1,207,48,1
splacona_cz,300,66,kobieta,13,815,0,142,48,4
splacona_cz,500,60,mezczyzna,13,1500,1,20,48,0
odmowa,300,29,mezczyzna,12,1300,0,0,3,0
splacona_cz,300,32,mezczyzna,11,2100,1,61,48,1
splacona,200,56,kobieta,17,1100,0,24,10,0
splacona_cz,200,47,kobieta,11,1493.98,0,362,48,0
splacona_cz,421.62,33,kobieta,11,1400,0,99,48,1
splacona_cz,500,62,mezczyzna,13,1272,0,13,48,5
splacona,1239.88,51,kobieta,11,1638,1,315,48,14
splacona_cz,600,49,kobieta,11,2500,0,233,48,0
splacona,200,64,kobieta,13,840,1,111,48,0
splacona_cz,200,37,mezczyzna,12,950,0,4,11,0
windykacja,500,38,kobieta,11,2825,0,95,48,298
splacona_cz,700,61,kobieta,13,2066,1,127,48,1
splacona_cz,300,67,kobieta,13,1094,0,183,48,6
splacona_cz,600,57,kobieta,11,1400,1,161,48,13
splacona_cz,200,71,kobieta,13,1185.33,1,224,48,3
